trial	count_a	lat_a	count_m	lat_m	scorer
11162.20130501.1.44	1	194	1	167	RI
11162.20130501.1.45	2	157	2	167	RI
11162.20130501.1.46	1	157	1	167	RI
11162.20130501.1.47	2	149	2	133	RI
11162.20130501.1.48	1	294	1	283	RI
11160.20130429.1.1	2	194	2	83	RI
11160.20130429.1.2	2	169	0	167	RI
11160.20130429.1.3	1	259	1	267	RI
11160.20130429.1.4	1	284	1	283	RI
11160.20130429.1.5	1	283	1	300	RI
11160.20130429.1.6	-1	-1	-1	-1	RI
11160.20130429.1.7	1	270	1	300	RI
11160.20130429.1.8	1	282	-1	-1	RI
11160.20130429.1.9	1	232	-1	-1	RI
11160.20130429.1.10	2	140	0	150	RI
11160.20130429.1.11	2	160	0	167	RI
11160.20130429.1.12	-1	-1	-1	-1	RI
11160.20130429.1.13	1	203	1	200	RI
11160.20130429.1.14	-1	-1	-1	-1	RI
11160.20130429.1.15	2	152	0	133	RI
11160.20130429.1.16	1	240	1	250	RI
11160.20130429.1.17	1	200	1	200	RI
11160.20130429.1.18	2	231	0	233	RI
11160.20130429.1.19	0	170	0	167	RI
11160.20130429.1.20	1	202	1	183	RI
11160.20130429.1.21	1	164	1	183	RI
11160.20130429.1.22	-1	-1	1	183	RI
11160.20130429.1.23	1	232	1	233	RI
11160.20130429.1.24	-1	-1	-1	-1	RI
11160.20130429.1.25	1	182	1	183	RI
11160.20130429.1.26	-1	-1	1	217	RI
11160.20130429.1.27	1	198	1	183	RI
11160.20130429.1.28	1	169	1	200	RI
11160.20130429.1.29	2	100	2	100	RI
11160.20130429.1.30	1	211	1	217	RI
11160.20130429.1.31	1	224	1	217	RI
11160.20130429.1.32	1	127	1	133	RI
11160.20130429.1.33	1	206	1	200	RI
11160.20130429.1.34	1	152	1	167	RI
11160.20130429.1.35	1	206	1	233	RI
11160.20130429.1.36	2	123	0	133	RI
11160.20130429.1.37	-1	-1	1	83	RI
11160.20130429.1.38	1	217	1	217	RI
11160.20130429.1.39	1	142	1	150	RI
11160.20130429.1.40	1	198	1	200	RI
11160.20130429.1.41	1	250	1	250	RI
11160.20130429.1.42	1	238	1	233	RI
11160.20130429.1.43	1	205	1	200	RI
11160.20130429.1.44	1	347	1	350	RI
11160.20130429.1.45	1	256	1	250	RI
11160.20130429.1.46	2	170	0	167	RI
11160.20130429.1.47	1	211	1	200	RI
11160.20130429.1.48	1	243	1	250	RI
11159.20130425.1.1	1	227	1	233	LR
11159.20130425.1.2	1	277	1	267	LR
11159.20130425.1.3	-1	-1	-1	-1	LR
11159.20130425.1.4	1	233	1	233	LR
11159.20130425.1.5	1	253	1	250	LR
11159.20130425.1.6	1	290	1	283	LR
11159.20130425.1.7	-1	-1	-1	-1	LR
11159.20130425.1.8	1	213	1	217	LR
11159.20130425.1.9	1	238	1	217	LR
11159.20130425.1.10	1	218	1	233	LR
11159.20130425.1.11	-1	-1	-1	-1	LR
11159.20130425.1.12	1	280	1	283	LR
11159.20130425.1.13	1	208	1	217	LR
11159.20130425.1.14	1	258	1	267	LR
11159.20130425.1.15	-1	-1	-1	-1	LR
11159.20130425.1.16	-1	-1	-1	-1	LR
11159.20130425.1.17	1	226	1	200	LR
11159.20130425.1.18	2	142	1	383	LR
11159.20130425.1.19	-1	-1	-1	-1	LR
11159.20130425.1.20	-1	-1	1	283	LR
11159.20130425.1.21	-1	-1	-1	-1	LR
11159.20130425.1.22	-1	-1	-1	-1	LR
11159.20130425.1.23	-1	-1	-1	-1	LR
11159.20130425.1.24	-1	-1	-1	-1	LR
11159.20130425.1.25	-1	-1	-1	-1	LR
11159.20130425.1.26	-1	-1	-1	-1	LR
11159.20130425.1.27	-1	-1	-1	-1	LR
11159.20130425.1.28	-1	-1	-1	-1	LR
11159.20130425.1.29	-1	-1	-1	-1	LR
11159.20130425.1.30	-1	-1	1	267	LR
11159.20130425.1.31	-1	-1	-1	-1	LR
11159.20130425.1.32	1	277	1	267	LR
11159.20130425.1.33	1	299	-1	-1	LR
