subj	PSCor	PSCorErr	PSErr	ASCor	ASErrCor	ASErr	Dropped	total
11094	0	0	0	21	25	0	0	46
11106	0	0	0	25	23	0	0	48
11109	0	0	0	21	18	0	0	39
11111	0	0	0	34	13	0	0	47
11113	0	0	0	39	2	0	0	41
11114	0	0	0	4	24	3	0	31
11116	0	0	0	29	6	0	1	36
11123	0	0	0	36	9	0	0	45
11128	0	0	0	29	14	0	0	43
11129	0	0	0	43	4	0	0	47
11130	0	0	0	25	22	0	0	47
11133	0	0	0	30	8	0	0	38
11137	0	0	0	40	7	0	0	47
11139	0	0	0	43	4	0	0	47
11140	0	0	0	36	2	0	0	38
11141	0	0	0	32	14	0	0	46
11143	0	0	0	24	9	0	0	33
11145	0	0	0	24	19	0	0	43
11146	0	0	0	20	16	1	1	38
11147	0	0	0	39	4	1	1	45
11148	0	0	0	23	24	0	0	47
11149	0	0	0	34	2	0	0	36
11151	0	0	0	40	6	0	0	46
11152	0	0	0	40	4	0	0	44
11156	0	0	0	38	2	1	1	42
11157	0	0	0	19	24	0	0	43
11159	0	0	0	17	0	0	0	17
11160	0	0	0	31	9	1	0	41
11162	0	0	0	36	9	0	0	45
11167	0	0	0	35	11	1	0	47
