script cueTime targetTime type targetPos
List5VA 142.5 145.5 ps 6
List5VA 210 213 as 1
List5VA 223.5 226.5 as 1
List5VA 234 237 as 2
List5VA 244.5 247.5 as 6
List5VA 255 258 as 3
List5VA 262.5 265.5 as 2
List5VA 270 273 as 5
List5VA 277.5 280.5 as 6
List5VA 285 288 as 5
List5VA 292.5 295.5 as 3
List5VA 300 303 as 4
List5VA 307.5 310.5 as 4
List6VA 46.5 49.5 ps 3
List6VA 54 57 ps 6
List6VA 64.5 67.5 ps 1
List6VA 72 75 ps 6
List6VA 82.5 85.5 ps 2
List6VA 90 93 ps 1
List6VA 97.5 100.5 ps 4
List6VA 105 108 ps 5
List6VA 115.5 118.5 ps 5
List6VA 123 126 ps 2
List6VA 136.5 139.5 ps 4
List6VA 144 147 ps 3
List6VA 210 213 as 3
List6VA 217.5 220.5 as 4
List6VA 225 228 as 1
List6VA 232.5 235.5 as 5
List6VA 240 243 as 4
List6VA 247.5 250.5 as 1
List6VA 255 258 as 6
List6VA 268.5 271.5 as 2
List6VA 276 279 as 2
List6VA 286.5 289.5 as 6
List6VA 294 297 as 5
List6VA 304.5 307.5 as 3
List7VA 45 48 ps 5
List7VA 58.5 61.5 ps 2
List7VA 66 69 ps 4
List7VA 73.5 76.5 ps 3
List7VA 81 84 ps 1
List7VA 88.5 91.5 ps 4
List7VA 99 102 ps 2
List7VA 106.5 109.5 ps 6
List7VA 114 117 ps 5
List7VA 121.5 124.5 ps 6
List7VA 135 138 ps 3
List7VA 145.5 148.5 ps 1
List7VA 211.5 214.5 as 3
List7VA 219 222 as 4
List7VA 232.5 235.5 as 1
List7VA 240 243 as 2
List7VA 247.5 250.5 as 5
List7VA 255 258 as 4
List7VA 268.5 271.5 as 3
List7VA 276 279 as 6
List7VA 283.5 286.5 as 6
List7VA 294 297 as 1
List7VA 301.5 304.5 as 5
List7VA 309 312 as 2
List8VA 40.5 43.5 ps 4
List8VA 48 51 ps 5
List8VA 55.5 58.5 ps 3
List8VA 63 66 ps 3
List8VA 70.5 73.5 ps 1
List8VA 78 81 ps 4
List8VA 91.5 94.5 ps 1
List8VA 99 102 ps 6
List8VA 109.5 112.5 ps 2
List8VA 117 120 ps 5
List8VA 130.5 133.5 ps 6
List8VA 141 144 ps 2
List8VA 214.5 217.5 as 6
List8VA 228 231 as 6
List8VA 235.5 238.5 as 1
List8VA 246 249 as 5
List8VA 253.5 256.5 as 3
List8VA 261 264 as 1
List8VA 268.5 271.5 as 2
List8VA 276 279 as 4
List8VA 283.5 286.5 as 2
List8VA 294 297 as 4
List8VA 301.5 304.5 as 5
List8VA 315 318 as 3
List9VA 40.5 43.5 ps 6
List9VA 51 54 ps 5
List9VA 58.5 61.5 ps 3
List9VA 72 75 ps 4
List9VA 79.5 82.5 ps 4
List9VA 87 90 ps 3
List9VA 97.5 100.5 ps 1
List9VA 111 114 ps 1
List9VA 118.5 121.5 ps 2
List9VA 126 129 ps 6
List9VA 133.5 136.5 ps 5
List9VA 144 147 ps 2
List9VA 214.5 217.5 as 4
List9VA 222 225 as 5
List9VA 235.5 238.5 as 5
List9VA 243 246 as 3
List9VA 253.5 256.5 as 1
List9VA 261 264 as 2
List9VA 271.5 274.5 as 3
List9VA 279 282 as 6
List9VA 286.5 289.5 as 1
List9VA 297 300 as 6
List9VA 304.5 307.5 as 4
List9VA 312 315 as 2
List10VA 40.5 43.5 ps 1
List10VA 48 51 ps 5
List10VA 61.5 64.5 ps 4
List10VA 69 72 ps 3
List10VA 76.5 79.5 ps 1
List10VA 84 87 ps 2
List10VA 94.5 97.5 ps 4
List10VA 102 105 ps 5
List10VA 115.5 118.5 ps 2
List10VA 123 126 ps 3
List10VA 130.5 133.5 ps 6
List10VA 141 144 ps 6
List10VA 214.5 217.5 as 1
List10VA 225 228 as 3
List10VA 232.5 235.5 as 1
List10VA 240 243 as 4
List10VA 253.5 256.5 as 3
List10VA 261 264 as 2
List10VA 274.5 277.5 as 4
List10VA 282 285 as 5
List10VA 292.5 295.5 as 2
List10VA 300 303 as 6
List10VA 307.5 310.5 as 6
List10VA 318 321 as 5
List11VA 40.5 43.5 ps 3
List11VA 51 54 ps 6
List11VA 61.5 64.5 ps 4
List11VA 69 72 ps 3
List11VA 76.5 79.5 ps 1
List11VA 90 93 ps 2
List11VA 97.5 100.5 ps 1
List11VA 105 108 ps 5
List11VA 115.5 118.5 ps 2
List11VA 123 126 ps 5
List11VA 130.5 133.5 ps 4
List11VA 138 141 ps 6
List11VA 219 222 as 2
List11VA 226.5 229.5 as 6
List11VA 237 240 as 1
List11VA 244.5 247.5 as 3
List11VA 252 255 as 5
List11VA 262.5 265.5 as 4
List11VA 273 276 as 3
List11VA 286.5 289.5 as 5
List11VA 294 297 as 2
List11VA 301.5 304.5 as 4
List11VA 309 312 as 1
List11VA 316.5 319.5 as 6
List12VA 43.5 46.5 ps 3
List12VA 51 54 ps 5
List12VA 58.5 61.5 ps 6
List12VA 69 72 ps 1
List12VA 76.5 79.5 ps 1
List12VA 84 87 ps 4
List12VA 94.5 97.5 ps 5
List12VA 105 108 ps 2
List12VA 112.5 115.5 ps 6
List12VA 126 129 ps 2
List12VA 133.5 136.5 ps 4
List12VA 141 144 ps 3
List12VA 213 216 as 4
List12VA 220.5 223.5 as 4
List12VA 234 237 as 2
List12VA 247.5 250.5 as 5
List12VA 255 258 as 1
List12VA 262.5 265.5 as 6
List12VA 270 273 as 3
List12VA 277.5 280.5 as 6
List12VA 288 291 as 5
List12VA 295.5 298.5 as 2
List12VA 306 309 as 3
List12VA 313.5 316.5 as 1
