"subj"	"run"	"trial"	"onset"	"slowed"	"end"	"startpos"	"endpos"	"maxpos"	"minpos"	"held"	"cordir"	"corpos"	"corside"	"gtMinLen"	"intime"	"distance"	"crossFix"	"MaxMinX"	"gtMinMag"	"startatFix"	"p.tracked"	"xdat"	"reason"
63	0	1	0.344666666666667	0.364666666666667	0.368666666666667	129.233806082464	122.138515535569	129.233806082464	122.138515535569	0	TRUE	FALSE	TRUE	FALSE	TRUE	-7.09529054689422	0	FALSE	FALSE	TRUE	1	164	NA
63	0	1	0.376666666666667	0.408666666666667	0.412666666666667	121.815707228226	138.123301820179	138.123301820179	121.815707228226	0	FALSE	FALSE	FALSE	FALSE	TRUE	16.3075945919526	1	TRUE	TRUE	TRUE	1	164	NA
63	0	1	0.432666666666667	0.468666666666667	0.468666666666667	137.652850289896	165.288593739466	165.288593739466	137.652850289896	0	FALSE	FALSE	FALSE	FALSE	TRUE	27.6357434495702	0	FALSE	TRUE	TRUE	1	164	NA
63	0	1	0.472666666666667	NA	0.576666666666667	166.322677725769	39.3782843211668	166.322677725769	39.3782843211668	0	TRUE	FALSE	TRUE	TRUE	TRUE	-126.944393404603	-1	TRUE	TRUE	FALSE	1	164	NA
63	0	1	0.576666666666667	0.660666666666667	0.664666666666667	39.3782843211668	118.761971151864	118.761971151864	39.3782843211668	0	FALSE	FALSE	TRUE	TRUE	TRUE	79.3836868306971	0	FALSE	TRUE	FALSE	1	164	NA
63	0	1	0.672666666666667	0.720666666666667	0.748666666666667	118.414217390383	93.5470938928969	118.414217390383	93.5470938928969	1	TRUE	TRUE	TRUE	TRUE	TRUE	-24.8671234974862	0	FALSE	TRUE	FALSE	1	164	NA
63	0	2	0.388666666666667	0.504666666666667	0.520666666666667	133.79148455851	207.622010861669	207.622010861669	133.79148455851	1	TRUE	FALSE	TRUE	TRUE	TRUE	73.8305263031598	1	TRUE	TRUE	TRUE	1	181	NA
63	0	3	0.488666666666667	0.512666666666667	0.560666666666667	133.421881541435	118.18300396681	133.421881541435	118.18300396681	1	TRUE	FALSE	TRUE	TRUE	TRUE	-15.2388775746243	0	FALSE	TRUE	FALSE	1	166	NA
63	0	3	0.944666666666667	1.01666666666667	1.02066666666667	119.508607996478	187.5992163315	187.5992163315	119.508607996478	0	FALSE	FALSE	FALSE	TRUE	TRUE	68.0906083350215	1	TRUE	TRUE	FALSE	1	166	NA
63	0	3	1.05666666666667	1.12466666666667	1.13266666666667	183.264432234247	133.234689678093	183.264432234247	133.234689678093	0	TRUE	FALSE	TRUE	TRUE	TRUE	-50.0297425561537	-1	TRUE	TRUE	FALSE	1	166	NA
63	0	3	1.14466666666667	NA	1.25666666666667	134.01460936045	228.568004084126	228.609694096452	134.01460936045	0	FALSE	FALSE	FALSE	TRUE	TRUE	94.553394723676	1	TRUE	TRUE	TRUE	1	166	NA
63	0	3	1.25666666666667	1.34466666666667	1.34866666666667	228.568004084126	140.138135448217	228.568004084126	140.138135448217	0	TRUE	FALSE	TRUE	TRUE	TRUE	-88.4298686359085	-1	TRUE	TRUE	FALSE	1	166	NA
63	0	3	1.36066666666667	1.36466666666667	1.38066666666667	140.767308304669	144.557265788155	144.557265788155	140.767308304669	0	FALSE	FALSE	FALSE	FALSE	TRUE	3.78995748348606	1	TRUE	FALSE	TRUE	1	166	NA
63	0	3	1.40066666666667	1.41666666666667	1.42466666666667	146.062801876154	151.892410855846	151.892410855846	146.062801876154	0	FALSE	FALSE	FALSE	FALSE	TRUE	5.8296089796917	0	FALSE	FALSE	TRUE	1	166	NA
63	0	3	1.43666666666667	1.52866666666667	1.54066666666667	151.84297808077	109.892866928445	151.84297808077	109.892866928445	1	TRUE	FALSE	TRUE	TRUE	TRUE	-41.9501111523247	-1	TRUE	TRUE	TRUE	1	166	NA
63	0	4	0.300666666666667	0.388666666666667	0.396666666666667	132.875001394229	175.112959060403	175.112959060403	132.875001394229	0	FALSE	FALSE	FALSE	TRUE	TRUE	42.2379576661742	0	FALSE	TRUE	TRUE	1	186	NA
63	0	4	0.412666666666667	0.528666666666667	0.536666666666667	174.635012411121	78.3233348923961	174.635012411121	78.3233348923961	1	TRUE	FALSE	TRUE	TRUE	TRUE	-96.311677518725	-1	TRUE	TRUE	FALSE	1	186	NA
63	0	5	1.20466666666667	1.29266666666667	1.33666666666667	128.123651638275	93.0373218308775	128.123651638275	93.0373218308775	1	TRUE	TRUE	TRUE	TRUE	TRUE	-35.0863298073974	0	FALSE	TRUE	TRUE	1	184	NA
63	0	6	0.584666666666667	0.628666666666667	0.652666666666667	147.266373159076	162.389608016403	162.389608016403	147.266373159076	1	TRUE	FALSE	TRUE	TRUE	TRUE	15.123234857327	1	TRUE	TRUE	TRUE	1	162	NA
63	0	7	NA	0	0	0	0	NA	NA	0	FALSE	FALSE	FALSE	FALSE	FALSE	NA	0	FALSE	FALSE	FALSE	0	186	"average fixpos(192.237500) is off from baseline(130.500000)!"
63	0	8	0.308666666666667	0.400666666666667	0.416666666666667	144.42566715739	191.755165132545	191.755165132545	144.42566715739	0	FALSE	FALSE	FALSE	TRUE	TRUE	47.3294979751552	0	FALSE	TRUE	TRUE	1	166	NA
63	0	8	0.476666666666667	0.596666666666667	0.604666666666667	188.569993107184	98.9375077416458	188.569993107184	98.9375077416458	1	TRUE	FALSE	TRUE	TRUE	TRUE	-89.6324853655382	-1	TRUE	TRUE	FALSE	1	166	NA
63	0	9	0.116666666666667	0.232666666666667	0.248666666666667	135.566126394726	71.5725452855169	135.566126394726	71.5725452855169	1	FALSE	FALSE	FALSE	TRUE	TRUE	-63.9935811092094	0	FALSE	TRUE	TRUE	1	161	NA
63	0	9	0.480666666666667	0.612666666666667	0.616666666666667	83.5795383339783	225.983973197015	225.983973197015	83.5795383339783	1	TRUE	FALSE	TRUE	TRUE	TRUE	142.404434863037	1	TRUE	TRUE	FALSE	1	161	NA
63	0	10	0.340666666666667	0.464666666666667	0.472666666666667	139.864769980716	38.5377707347509	139.864769980716	38.5377707347509	1	TRUE	TRUE	TRUE	TRUE	TRUE	-101.326999245965	0	FALSE	TRUE	TRUE	1	185	NA
63	0	10	0.668666666666667	0.772666666666667	0.792666666666667	42.6970573853026	91.4588598672164	91.4588598672164	42.6970573853026	1	FALSE	FALSE	TRUE	TRUE	TRUE	48.7618024819138	0	FALSE	TRUE	FALSE	1	185	NA
63	0	10	1.39666666666667	1.49266666666667	1.50866666666667	100.722154279577	149.248179809655	149.248179809655	100.722154279577	1	FALSE	FALSE	FALSE	TRUE	TRUE	48.526025530078	1	TRUE	TRUE	FALSE	1	185	NA
63	0	11	0.464666666666667	0.568666666666667	0.584666666666667	148.660655922229	203.283453420828	203.283453420828	148.660655922229	1	TRUE	FALSE	TRUE	TRUE	TRUE	54.622797498599	0	FALSE	TRUE	TRUE	1	181	NA
63	0	12	0.280666666666667	0.412666666666667	0.420666666666667	142.563459553796	33.9947665124498	142.563459553796	33.9947665124498	1	TRUE	TRUE	TRUE	TRUE	TRUE	-108.568693041346	0	FALSE	TRUE	TRUE	1	185	NA
63	0	12	0.608666666666667	0.716666666666667	0.728666666666667	44.6895621183687	109.347671846155	109.347671846155	44.6895621183687	1	FALSE	FALSE	TRUE	TRUE	TRUE	64.6581097277866	0	FALSE	TRUE	FALSE	1	185	NA
63	0	12	1.35266666666667	1.41666666666667	1.43666666666667	116.604489466323	138.831813067401	138.831813067401	116.604489466323	1	FALSE	FALSE	TRUE	TRUE	TRUE	22.2273236010775	0	FALSE	TRUE	FALSE	1	185	NA
63	0	13	0.460666666666667	0.520666666666667	0.544666666666667	157.40703252225	178.202903764121	178.202903764121	157.40703252225	1	TRUE	TRUE	TRUE	TRUE	TRUE	20.7958712418704	0	FALSE	TRUE	TRUE	1	163	NA
63	0	13	1.38866666666667	1.46466666666667	1.49666666666667	149.621527142561	119.926020681897	149.621527142561	119.926020681897	1	FALSE	FALSE	FALSE	TRUE	TRUE	-29.6955064606641	-1	TRUE	TRUE	TRUE	1	163	NA
63	0	14	0.292666666666667	0.404666666666667	0.420666666666667	158.006535609263	99.4203200088849	158.006535609263	99.4203200088849	0	FALSE	FALSE	FALSE	TRUE	TRUE	-58.5862156003779	-1	TRUE	TRUE	TRUE	1	182	NA
63	0	14	0.504666666666667	0.620666666666667	0.628666666666667	106.687087689225	177.529516374665	177.529516374665	106.687087689225	0	TRUE	FALSE	TRUE	TRUE	TRUE	70.842428685439	1	TRUE	TRUE	FALSE	1	182	NA
63	0	14	0.692666666666667	0.708666666666667	0.764666666666667	182.606916059416	196.337783008335	196.337783008335	182.606916059416	1	TRUE	TRUE	TRUE	TRUE	TRUE	13.7308669489192	0	FALSE	TRUE	FALSE	1	182	NA
63	0	15	0.240666666666667	0.352666666666667	0.368666666666667	150.857413117842	81.9828544533444	150.857413117842	81.9828544533444	0	FALSE	FALSE	FALSE	TRUE	TRUE	-68.8745586644978	0	FALSE	TRUE	TRUE	1	161	NA
63	0	15	0.408666666666667	0.620666666666667	0.636666666666667	82.6784412617006	197.313139228993	197.313139228993	82.6784412617006	1	TRUE	FALSE	TRUE	TRUE	TRUE	114.634697967292	1	TRUE	TRUE	FALSE	1	161	NA
63	0	15	0.976666666666667	1.07266666666667	1.09266666666667	201.459942425388	248.974766063534	248.974766063534	201.459942425388	1	TRUE	TRUE	TRUE	TRUE	TRUE	47.514823638146	0	FALSE	TRUE	FALSE	1	161	NA
63	0	16	0.376666666666667	0.496666666666667	0.508666666666667	136.463410825419	43.4560437774143	136.463410825419	43.4560437774143	0	TRUE	FALSE	TRUE	TRUE	TRUE	-93.0073670480046	-1	TRUE	TRUE	TRUE	1	164	NA
63	0	16	0.588666666666667	0.760666666666667	0.780666666666667	46.3787901523489	126.787428023746	126.787428023746	46.3787901523489	1	FALSE	FALSE	TRUE	TRUE	TRUE	80.4086378713972	0	FALSE	TRUE	FALSE	1	164	NA
63	0	17	0.416666666666667	0.528666666666667	0.544666666666667	141.808161796852	198.413380826433	198.413380826433	141.808161796852	1	TRUE	TRUE	TRUE	TRUE	TRUE	56.605219029581	0	FALSE	TRUE	TRUE	1	163	NA
63	0	17	1.12466666666667	1.16066666666667	1.21266666666667	193.639738608541	174.286759250667	193.639738608541	174.286759250667	1	FALSE	TRUE	TRUE	TRUE	TRUE	-19.352979357874	0	FALSE	TRUE	FALSE	1	163	NA
63	0	18	0.404666666666667	0.412666666666667	0.492666666666667	157.525035225362	169.806775085169	169.806775085169	157.525035225362	0	FALSE	FALSE	FALSE	TRUE	TRUE	12.2817398598063	0	FALSE	TRUE	TRUE	1	184	NA
63	0	18	0.516666666666667	0.632666666666667	0.644666666666667	168.666007944929	82.5645492280149	168.666007944929	82.5645492280149	1	TRUE	TRUE	TRUE	TRUE	TRUE	-86.1014587169139	-1	TRUE	TRUE	FALSE	1	184	NA
63	0	18	0.808666666666667	0.900666666666667	0.916666666666667	88.9206701305945	124.079350009518	124.079350009518	88.9206701305945	1	FALSE	FALSE	TRUE	TRUE	TRUE	35.1586798789233	0	FALSE	TRUE	FALSE	1	184	NA
63	0	19	0.452666666666667	0.540666666666667	0.568666666666667	139.353375556955	110.2660746024	139.353375556955	110.2660746024	1	TRUE	FALSE	TRUE	TRUE	TRUE	-29.0873009545557	0	FALSE	TRUE	TRUE	1	166	NA
63	0	19	1.04066666666667	1.07666666666667	1.09266666666667	101.30869942368	87.8136739454413	101.30869942368	87.8136739454413	1	TRUE	FALSE	TRUE	TRUE	TRUE	-13.4950254782383	0	FALSE	TRUE	FALSE	1	166	NA
63	0	20	0.436666666666667	0.532666666666667	0.568666666666667	148.550811485833	183.694422071459	183.694422071459	148.550811485833	1	TRUE	FALSE	TRUE	TRUE	TRUE	35.1436105856255	0	FALSE	TRUE	TRUE	1	182	NA
63	0	21	0.620666666666667	0.668666666666667	0.696666666666667	145.55250927283	125.906363602744	145.55250927283	125.906363602744	1	TRUE	FALSE	TRUE	TRUE	TRUE	-19.6461456700852	-1	TRUE	TRUE	TRUE	1	165	NA
63	0	21	1.24466666666667	1.30866666666667	1.35666666666667	121.771722613596	97.316967676029	121.771722613596	97.316967676029	1	TRUE	FALSE	TRUE	TRUE	TRUE	-24.4547549375669	0	FALSE	TRUE	FALSE	1	165	NA
63	0	22	0.304666666666667	0.428666666666667	0.456666666666667	150.248640988671	57.5551534439665	150.248640988671	57.5551534439665	1	FALSE	FALSE	FALSE	TRUE	TRUE	-92.6934875447045	-1	TRUE	TRUE	FALSE	1	161	NA
