XDAT	pupil_diam	horz_gaze_coord	vert_gaze_coord
255	35	6513.5	1207.8
255	0	6513.5	1207.8
255	63	38.5	663.6
255	64	42.6	637.6
255	66	49.5	587.1
255	66	59.6	516
255	66	70	441.7
255	66	82.5	359.4
255	66	94.4	274
255	66	104.3	208.5
255	66	109.7	169
255	66	113.4	151.5
255	66	116.1	134
255	66	116.7	126.5
255	66	119.4	121.2
255	66	118.9	121.3
255	66	121.2	120
255	66	120.7	117.5
255	66	123	117.4
255	66	122.5	116
255	66	120	115.9
255	65	119.4	120.8
255	66	117.7	123.8
255	66	116.4	122.3
255	66	114.7	122.4
255	65	116.2	122.3
255	65	116.6	121.9
255	65	117.9	119.1
255	65	118.9	116.3
255	65	122.5	120.3
255	65	122.6	122.8
255	65	122.4	127.4
255	65	122.7	129.2
255	65	121.9	129
255	65	121.2	131.8
255	65	118	131.6
255	65	117.9	133.8
255	65	118.5	132.3
255	65	120	134
255	65	120.5	137
255	65	120.6	138.1
255	65	121.8	137.9
255	65	120.5	136.4
255	65	118.9	133.8
255	65	118.4	131.6
255	65	116.9	130
255	65	115.2	127.3
255	65	115.6	130.4
255	65	117.3	128
255	65	118.2	131.6
255	65	118.7	133.1
255	65	120.4	133.5
255	65	123	135.1
255	65	123.1	131.8
255	65	124	132.7
255	65	124.4	133.8
255	65	124.3	135.1
255	65	124.1	133.8
255	65	123.7	132.9
255	65	123.6	132.3
255	65	123.9	133.7
255	65	124.1	130.1
255	65	123.3	129
255	65	123.4	127.6
255	65	125	127.1
255	65	124.8	129.5
255	66	122.4	129
255	66	123	129
255	66	122	129.2
255	66	121.5	131.8
255	66	120.2	132.2
255	65	120.2	132.2
255	67	120.5	132.6
255	66	119.5	133.6
255	66	121.3	133.3
255	66	122.9	133.9
255	66	123.8	134.6
255	66	123.5	134.3
255	66	124	134.5
255	66	124.1	133.1
255	66	124	133.6
255	66	123.1	133.7
255	66	121.1	133.3
255	65	122.2	134.5
255	66	123.6	131.8
255	66	125.3	132.3
255	66	126.2	131.6
255	65	124.8	127.9
255	66	126.8	128.6
255	66	129.3	125.9
255	66	126.5	127.7
255	66	126	129.4
255	66	124.8	127.8
255	66	127.6	128.3
255	66	126.6	127.1
255	66	123.1	125.8
255	66	126.3	128
255	66	125.6	120.1
255	66	126.1	114.9
255	66	123	110.2
255	66	124.7	104.2
255	66	124.3	103.5
255	66	121.3	96.6
255	66	119.3	96.7
255	66	117.9	99.5
255	66	119.4	98.5
255	66	118.3	102.3
255	66	117.3	94.3
255	66	118.5	95.6
255	66	118.9	100
255	66	120.9	100.7
255	66	121.1	105.7
255	66	119.4	103.6
255	66	121.6	111.8
255	66	122.3	113
255	66	122.6	112.9
255	66	121.9	113
255	66	120.1	112
255	65	121.3	112
255	66	121.5	111.4
255	65	118.7	106.8
255	65	120.4	103.5
255	66	120	103.2
255	66	120.2	103.2
255	65	120.1	105.2
255	65	120.7	104.1
255	66	123.9	108.6
255	65	122.3	111.3
255	65	123.4	114.6
255	65	127.4	112.4
255	66	130	115.2
255	66	133.3	120.2
255	66	136.8	122.4
255	66	141.1	127.4
255	66	144.6	127.1
255	66	144.6	134.6
255	66	145.6	134.5
255	65	146.9	132.3
255	66	147.6	131.8
255	66	148	128.3
255	66	146.6	129.1
255	66	148.9	128.8
255	66	147.6	129.4
255	66	144.1	134.7
255	66	139.9	136.5
255	66	136.7	141.2
255	66	135.6	142.9
255	66	132.4	142.3
255	66	132.3	144.4
255	66	132.4	142.4
255	66	133	145
255	66	135.7	145.5
255	66	135.6	148.2
255	66	135.2	151
255	66	133.3	151.5
255	66	130.2	171.6
255	0	130.2	171.6
255	0	130.2	171.6
255	0	130.2	171.6
255	0	130.2	171.6
255	0	130.2	171.6
255	0	130.2	171.6
255	63	40	649.8
255	65	47.2	615.7
255	65	58.2	560.3
255	65	72.4	490.5
255	65	88.6	412.3
255	66	105.2	331.1
255	65	120.9	242.8
255	65	128.9	192.9
255	65	132	158.3
255	65	130.9	147.2
255	65	128.2	143.5
255	65	127.3	140.5
255	65	126.3	145.4
255	65	127.4	143.7
255	65	128.3	148.2
255	65	129.5	143.1
255	65	131.2	142
255	65	129.6	142.2
255	65	130	140.6
255	65	129.6	139.7
255	65	128.3	141.1
255	65	129.1	143.5
255	65	127.8	142.1
255	65	129.2	141.5
255	65	130.1	142.6
255	65	129.4	143
255	65	132.9	141.8
255	65	134.3	139.2
255	65	135.8	139.7
255	65	137	140.9
255	65	136.6	140.3
255	65	136.2	141.5
255	65	133.5	143.4
255	65	131.1	146.9
255	66	129.3	146.1
255	65	127.4	145.3
255	66	128	141.8
255	65	129.6	142.7
255	65	132.2	141.4
255	66	133.5	138.6
255	66	135.9	136.9
255	65	136.8	135.3
255	66	137.9	140.6
255	66	137	140.9
255	66	135.2	135.3
255	66	136.5	134.9
255	66	137.2	134.7
255	66	137	130.8
255	66	133.5	124.5
255	66	133.4	121
255	66	132.4	122
255	65	130.5	120.9
255	65	127.3	123.5
255	65	127	126.7
255	66	128.2	124.9
255	66	130.7	121.7
255	65	133.2	124.6
255	65	132.6	125.8
255	65	133	119
255	66	131.5	118.4
255	66	133.5	123.1
255	66	131.7	125.8
255	66	129.2	123
255	66	131.4	116.8
255	65	133.2	121.8
255	65	132.7	126.9
255	61	112.9	233.1
255	0	112.9	233.1
255	0	112.9	233.1
255	0	112.9	233.1
255	0	112.9	233.1
255	0	112.9	233.1
255	0	112.9	233.1
255	60	42.7	756.5
255	65	50.7	701.7
255	66	63	622.1
255	65	76.1	527.7
255	66	91.7	427.5
255	66	106	321.5
255	65	120.6	217.6
255	65	128.7	167.2
255	66	131	142.1
255	66	132.3	133.7
255	66	132.6	127.7
255	66	133	127.8
255	66	134.1	125.8
255	66	133.1	127
255	66	134.3	129
255	66	136.3	128.6
255	66	135.6	128.5
255	66	137	127.9
255	66	136	126.1
255	66	135.5	124.5
255	66	135.6	123.3
255	66	134.5	122.3
255	66	135.3	120.8
255	66	133.9	120.2
255	66	133.1	120.5
255	67	133.5	118.1
255	66	131.3	117.6
255	66	131	115.8
255	66	130	120.8
255	66	129.5	122.9
255	67	130	127.5
255	67	128.8	131
255	66	130.9	127.8
255	66	131.9	131.7
255	66	131	130.8
255	67	133.6	129.5
255	66	131.8	130.4
255	66	133	130.6
255	66	133.5	133.5
255	66	132.9	132.9
255	66	133.8	136.7
255	66	133	138.2
255	66	134.8	137.6
255	66	133.2	139.7
255	66	131.3	138.7
255	66	131	139
255	66	129.9	137.3
255	66	129.3	139.7
255	66	130.8	141.8
255	66	132	140.8
255	66	133.4	145.1
255	66	134	148.5
255	66	133.3	149
255	66	132	148.7
255	66	130.5	149.1
255	66	131.6	149.8
255	66	131.9	148.9
255	66	131.6	146.6
255	0	131.6	146.6
255	0	131.6	146.6
255	0	131.6	146.6
255	0	131.6	146.6
255	0	131.6	146.6
255	0	131.6	146.6
255	0	131.6	146.6
255	0	131.6	146.6
255	0	131.6	146.6
255	55	131.6	146.6
255	65	59.5	540.3
255	66	64	504.3
255	67	72.6	452.9
255	67	82.4	392.9
255	67	92.9	329.5
255	67	105.4	262
255	67	116.5	196.5
255	67	122.4	164.1
255	67	124.6	150.4
255	67	125	145.6
255	67	124.8	141.8
255	67	123.3	141.2
255	67	126.1	138.2
255	67	125.8	140.2
255	67	127.9	134.8
255	67	127.5	131
255	67	127.4	130.1
255	66	126.4	130
255	67	123.9	130.7
255	66	126.3	129.2
255	67	124.4	134.7
255	67	124.9	138.1
255	67	126	138.9
255	66	127.9	142.1
255	66	127.3	143.9
255	66	124.3	147.2
255	66	123.9	146.2
255	65	122.8	145.5
255	66	121.9	144.9
255	65	120.2	140.4
255	65	120.3	138.3
255	65	120.9	136.7
255	65	122.1	135.4
255	65	122.6	134.5
255	65	122.2	136.2
255	65	123.1	142.5
255	66	121.7	146.5
255	65	122.6	147.1
255	66	121.6	149.2
255	66	123.5	150
255	65	124.9	150.2
255	65	123.3	149
255	65	122.8	148.6
255	65	123.4	150.9
255	65	122.3	149.9
255	65	120.9	152.8
255	65	119	157.4
255	66	120.5	158.4
255	65	122.3	160.9
255	65	121.1	162.1
255	0	121.1	162.1
255	0	121.1	162.1
255	0	121.1	162.1
255	0	121.1	162.1
255	0	121.1	162.1
255	0	121.1	162.1
255	27	121.1	162.1
255	63	46.3	650.1
255	65	54.6	597.3
255	66	66.5	527.3
255	65	80.1	442.4
255	66	94.3	357.6
255	66	109	269.9
255	65	123.9	182.8
255	65	131.7	143.5
255	66	133.3	123.6
255	66	132.3	119.3
255	66	131.8	115.8
255	66	131.8	114.2
255	66	132.6	112.9
255	65	132	114.4
255	66	134.8	115.6
255	66	137.7	110.5
255	66	138.9	109.4
255	66	138.3	107.9
255	65	138.3	105.4
255	66	138.3	103.9
255	66	137.3	99.1
