script time type targetPos
List11AV 241.5 ps 1
List11AV 252 ps 4
List11AV 265.5 ps 5
List11AV 273 ps 5
List11AV 286.5 ps 3
List11AV 294 ps 6
List11AV 301.5 ps 3
List11AV 309 ps 1
List11AV 319.5 ps 2
List12AV 46.5 as 3
List12AV 54 as 6
List12AV 61.5 as 2
List12AV 69 as 2
List12AV 76.5 as 1
List12AV 84 as 3
List12AV 94.5 as 1
List12AV 105 as 5
List12AV 112.5 as 6
List12AV 123 as 4
List12AV 130.5 as 5
List12AV 144 as 4
List12AV 214.5 ps 3
List12AV 228 ps 2
List12AV 235.5 ps 4
List12AV 243 ps 5
List12AV 253.5 ps 6
List12AV 261 ps 1
List12AV 268.5 ps 1
List12AV 276 ps 2
List12AV 286.5 ps 6
List12AV 294 ps 3
List12AV 301.5 ps 5
List12AV 315 ps 4
List1VA 46.5 ps 4
List1VA 54 ps 5
List1VA 61.5 ps 3
List1VA 72 ps 1
List1VA 79.5 ps 1
List1VA 87 ps 2
List1VA 94.5 ps 3
List1VA 105 ps 6
List1VA 118.5 ps 2
List1VA 126 ps 6
List1VA 139.5 ps 4
List1VA 147 ps 5
List1VA 211.5 as 1
List1VA 222 as 4
List1VA 229.5 as 3
List1VA 237 as 6
List1VA 244.5 as 5
List1VA 252 as 4
List1VA 265.5 as 3
List1VA 279 as 6
List1VA 286.5 as 1
List1VA 297 as 5
List1VA 304.5 as 2
List1VA 315 as 2
List2VA 48 ps 1
List2VA 58.5 ps 3
List2VA 72 ps 2
List2VA 82.5 ps 2
List2VA 90 ps 5
List2VA 97.5 ps 6
List2VA 105 ps 1
List2VA 112.5 ps 5
List2VA 120 ps 4
List2VA 127.5 ps 6
List2VA 141 ps 4
List2VA 148.5 ps 3
List2VA 213 as 5
List2VA 223.5 as 2
List2VA 231 as 4
List2VA 244.5 as 3
List2VA 252 as 2
List2VA 259.5 as 4
List2VA 267 as 1
List2VA 277.5 as 6
List2VA 285 as 5
List2VA 292.5 as 1
List2VA 306 as 6
List2VA 313.5 as 3
List3VA 42 ps 4
List3VA 52.5 ps 1
List3VA 60 ps 6
List3VA 67.5 ps 2
List3VA 78 ps 6
List3VA 91.5 ps 2
List3VA 99 ps 5
List3VA 106.5 ps 4
List3VA 114 ps 1
List3VA 121.5 ps 3
List3VA 135 ps 3
List3VA 142.5 ps 5
List3VA 210 as 3
List3VA 217.5 as 4
List3VA 225 as 5
List3VA 232.5 as 1
List3VA 240 as 6
List3VA 250.5 as 6
List3VA 258 as 3
List3VA 265.5 as 2
List3VA 279 as 5
List3VA 286.5 as 4
List3VA 297 as 1
List3VA 304.5 as 2
List4VA 40.5 ps 3
List4VA 54 ps 1
List4VA 61.5 ps 4
List4VA 69 ps 3
List4VA 79.5 ps 1
List4VA 90 ps 5
List4VA 99 ps 2
List4VA 108 ps 2
List4VA 115.5 ps 6
List4VA 123 ps 6
List4VA 130.5 ps 5
List4VA 144 ps 4
List4VA 210 as 5
List4VA 223.5 as 6
List4VA 231 as 3
List4VA 238.5 as 3
List4VA 246 as 2
List4VA 256.5 as 6
List4VA 264 as 5
List4VA 277.5 as 4
List4VA 285 as 4
List4VA 295.5 as 1
List4VA 303 as 1
List4VA 313.5 as 2
List5VA 42 ps 6
List5VA 49.5 ps 2
List5VA 60 ps 4
List5VA 67.5 ps 3
List5VA 75 ps 5
List5VA 82.5 ps 1
List5VA 90 ps 3
List5VA 100.5 ps 5
List5VA 114 ps 1
List5VA 121.5 ps 2
List5VA 135 ps 4
List5VA 142.5 ps 6
List5VA 210 as 1
List5VA 223.5 as 1
List5VA 234 as 2
List5VA 244.5 as 6
List5VA 255 as 3
List5VA 262.5 as 2
List5VA 270 as 5
List5VA 277.5 as 6
List5VA 285 as 5
List5VA 292.5 as 3
List5VA 300 as 4
List5VA 307.5 as 4
List6VA 46.5 ps 3
List6VA 54 ps 6
List6VA 64.5 ps 1
List6VA 72 ps 6
List6VA 82.5 ps 2
List6VA 90 ps 1
List6VA 97.5 ps 4
List6VA 105 ps 5
List6VA 115.5 ps 5
List6VA 123 ps 2
List6VA 136.5 ps 4
List6VA 144 ps 3
List6VA 210 as 3
List6VA 217.5 as 4
List6VA 225 as 1
List6VA 232.5 as 5
List6VA 240 as 4
List6VA 247.5 as 1
List6VA 255 as 6
List6VA 268.5 as 2
List6VA 276 as 2
List6VA 286.5 as 6
List6VA 294 as 5
List6VA 304.5 as 3
List7VA 45 ps 5
List7VA 58.5 ps 2
List7VA 66 ps 4
List7VA 73.5 ps 3
List7VA 81 ps 1
List7VA 88.5 ps 4
List7VA 99 ps 2
List7VA 106.5 ps 6
List7VA 114 ps 5
List7VA 121.5 ps 6
List7VA 135 ps 3
List7VA 145.5 ps 1
List7VA 211.5 as 3
List7VA 219 as 4
List7VA 232.5 as 1
List7VA 240 as 2
List7VA 247.5 as 5
List7VA 255 as 4
List7VA 268.5 as 3
List7VA 276 as 6
List7VA 283.5 as 6
List7VA 294 as 1
List7VA 301.5 as 5
List7VA 309 as 2
List8VA 40.5 ps 4
List8VA 48 ps 5
List8VA 55.5 ps 3
List8VA 63 ps 3
List8VA 70.5 ps 1
List8VA 78 ps 4
List8VA 91.5 ps 1
List8VA 99 ps 6
List8VA 109.5 ps 2
List8VA 117 ps 5
List8VA 130.5 ps 6
List8VA 141 ps 2
List8VA 214.5 as 6
List8VA 228 as 6
List8VA 235.5 as 1
List8VA 246 as 5
List8VA 253.5 as 3
List8VA 261 as 1
List8VA 268.5 as 2
List8VA 276 as 4
List8VA 283.5 as 2
List8VA 294 as 4
List8VA 301.5 as 5
List8VA 315 as 3
List9VA 40.5 ps 6
List9VA 51 ps 5
List9VA 58.5 ps 3
List9VA 72 ps 4
List9VA 79.5 ps 4
List9VA 87 ps 3
List9VA 97.5 ps 1
List9VA 111 ps 1
List9VA 118.5 ps 2
List9VA 126 ps 6
List9VA 133.5 ps 5
List9VA 144 ps 2
List9VA 214.5 as 4
List9VA 222 as 5
List9VA 235.5 as 5
List9VA 243 as 3
List9VA 253.5 as 1
List9VA 261 as 2
List9VA 271.5 as 3
List9VA 279 as 6
List9VA 286.5 as 1
List9VA 297 as 6
List9VA 304.5 as 4
List9VA 312 as 2
List10VA 40.5 ps 1
List10VA 48 ps 5
List10VA 61.5 ps 4
List10VA 69 ps 3
List10VA 76.5 ps 1
List10VA 84 ps 2
List10VA 94.5 ps 4
List10VA 102 ps 5
List10VA 115.5 ps 2
List10VA 123 ps 3
List10VA 130.5 ps 6
List10VA 141 ps 6
List10VA 214.5 as 1
List10VA 225 as 3
List10VA 232.5 as 1
List10VA 240 as 4
List10VA 253.5 as 3
List10VA 261 as 2
List10VA 274.5 as 4
List10VA 282 as 5
List10VA 292.5 as 2
List10VA 300 as 6
List10VA 307.5 as 6
List10VA 318 as 5
List11VA 40.5 ps 3
List11VA 51 ps 6
List11VA 61.5 ps 4
List11VA 69 ps 3
List11VA 76.5 ps 1
List11VA 90 ps 2
List11VA 97.5 ps 1
List11VA 105 ps 5
List11VA 115.5 ps 2
List11VA 123 ps 5
List11VA 130.5 ps 4
List11VA 138 ps 6
List11VA 219 as 2
List11VA 226.5 as 6
List11VA 237 as 1
List11VA 244.5 as 3
List11VA 252 as 5
List11VA 262.5 as 4
List11VA 273 as 3
List11VA 286.5 as 5
List11VA 294 as 2
List11VA 301.5 as 4
List11VA 309 as 1
List11VA 316.5 as 6
List12VA 43.5 ps 3
List12VA 51 ps 5
List12VA 58.5 ps 6
List12VA 69 ps 1
List12VA 76.5 ps 1
List12VA 84 ps 4
List12VA 94.5 ps 5
List12VA 105 ps 2
List12VA 112.5 ps 6
List12VA 126 ps 2
List12VA 133.5 ps 4
List12VA 141 ps 3
List12VA 213 as 4
List12VA 220.5 as 4
List12VA 234 as 2
List12VA 247.5 as 5
List12VA 255 as 1
List12VA 262.5 as 6
List12VA 270 as 3
List12VA 277.5 as 6
List12VA 288 as 5
List12VA 295.5 as 2
List12VA 306 as 3
List12VA 313.5 as 1
