trial	count_a	lat_a	count_m	lat_m	scorer
*11157.20130501.1.8	-1	-1	1	667	LR
*11157.20130501.1.9	-1	-1	1	567	LR
*11157.20130501.1.10	-1	-1	2	300	LR
*11157.20130501.1.11	-1	-1	1	433	LR
*11157.20130501.1.12	-1	-1	1	733	LR
*11157.20130501.1.13	-1	-1	1	700	LR
*11157.20130501.1.14	-1	-1	2	333	LR
*11157.20130501.1.15	-1	-1	2	317	LR
*11157.20130501.1.16	-1	-1	1	483	LR
*11157.20130501.1.17	-1	-1	2	333	LR
*11157.20130501.1.18	-1	-1	1	450	LR
*11157.20130501.1.19	-1	-1	1	533	LR
*11157.20130501.1.20	-1	-1	2	350	LR
*11157.20130501.1.21	-1	-1	1	450	LR
*11157.20130501.1.22	-1	-1	1	517	LR
*11157.20130501.1.23	-1	-1	1	500	LR
*11157.20130501.1.24	-1	-1	1	567	LR
*11157.20130501.1.25	-1	-1	1	517	LR
*11157.20130501.1.26	-1	-1	1	617	LR
*11157.20130501.1.27	-1	-1	1	467	LR
*11157.20130501.1.28	-1	-1	1	617	LR
*11157.20130501.1.29	-1	-1	0	367	LR
*11157.20130501.1.30	-1	-1	1	333	LR
*11157.20130501.1.31	-1	-1	0	333	LR
*11157.20130501.1.32	-1	-1	0	350	LR
*11157.20130501.1.33	-1	-1	1	533	LR
*11157.20130501.1.34	-1	-1	2	617	LR
*11157.20130501.1.35	-1	-1	0	300	LR
*11157.20130501.1.36	-1	-1	-1	-1	LR
*11157.20130501.1.37	-1	-1	1	417	LR
*11157.20130501.1.38	-1	-1	-1	-1	LR
*11157.20130501.1.39	-1	-1	0	533	LR
*11157.20130501.1.40	-1	-1	2	483	LR
*11157.20130501.1.41	-1	-1	2	517	LR
*11157.20130501.1.42	-1	-1	2	317	LR
11156.20130426.4.1	-1	-1	-1	-1	LR
11156.20130426.4.2	1	450	1	483	LR
11156.20130426.4.3	1	565	1	433	LR
11156.20130426.4.4	1	452	1	483	LR
11156.20130426.4.5	-1	-1	-1	-1	LR
11156.20130426.4.6	1	521	1	533	LR
11156.20130426.4.7	-1	-1	-1	-1	LR
