trial	count_a	lat_a	count_m	lat_m	scorer	xdat
10263.20070917.1.35	1	194	1	200	AW	123
10263.20070917.1.36	1	157	1	167	AW	124
10263.20070917.1.37	1	179	1	183	AW	122
10263.20070917.1.38	1	182	1	200	AW	121
10263.20070917.1.39	1	172	1	183	AW	124
10263.20070917.1.40	1	157	1	167	AW	122
10263.20070917.1.41	1	179	1	200	AW	124
10263.20070917.1.42	-1	-1	1	183	AW	
10263.20070917.1.43	1	182	1	200	AW	124
10263.20070917.1.44	1	144	1	150	AW	122
10263.20070917.1.45	1	194	1	217	AW	124
10263.20070917.1.46	1	169	1	167	AW	122
10263.20070917.1.47	1	182	1	200	AW	121
10263.20070917.1.48	1	167	1	183	AW	124
*10263.20070321.1.1	-1	-1	1	200	JS	
*10263.20070321.1.2	-1	-1	1	183	JS	
*10263.20070321.1.3	-1	-1	1	150	JS	
*10263.20070321.1.4	-1	-1	1	233	JS	
*10263.20070321.1.5	-1	-1	1	167	JS	
*10263.20070321.1.6	-1	-1	1	150	JS	
*10263.20070321.1.7	-1	-1	1	167	JS	
*10263.20070321.1.8	-1	-1	1	183	JS	
*10263.20070321.1.9	-1	-1	1	267	JS	
*10263.20070321.1.10	-1	-1	1	133	JS	
*10263.20070321.1.11	-1	-1	1	217	JS	
*10263.20070321.1.12	-1	-1	1	183	JS	
*10263.20070321.1.13	-1	-1	1	217	JS	
*10263.20070321.1.14	-1	-1	1	267	JS	
*10263.20070321.1.15	-1	-1	1	250	JS	
*10263.20070321.1.16	-1	-1	1	217	JS	
*10263.20070321.1.17	-1	-1	1	167	JS	
*10263.20070321.1.18	-1	-1	1	133	JS	
*10263.20070321.1.19	-1	-1	1	300	JS	
*10263.20070321.1.20	-1	-1	1	200	JS	
*10263.20070321.1.21	-1	-1	1	183	JS	
*10263.20070321.1.22	-1	-1	1	183	JS	
*10263.20070321.1.23	-1	-1	1	317	JS	
*10263.20070321.1.24	-1	-1	1	217	JS	
*10263.20070321.1.25	-1	-1	1	217	JS	
*10263.20070321.1.26	-1	-1	1	250	JS	
*10263.20070321.1.27	-1	-1	1	183	JS	
*10263.20070321.1.28	-1	-1	1	150	JS	
*10263.20070321.1.29	-1	-1	1	200	JS	
*10263.20070321.1.30	-1	-1	1	183	JS	
*10263.20070321.1.31	-1	-1	1	183	JS	
