"vid","trial","lat.asl","Count.asl","Desc.asl","dotpos","lat.el","Count.el","Desc.el"
"220682rr01",88,NA,-1,"no saccades (getSacs)",1406,-4228,-1,"early saccade"
"220682rr01",89,321,1,"",514,304,1,""
"220682rr01",9,357,1,"",1406,374,1,""
"220682rr01",90,NA,-1,"no saccades (getSacs)",1661,448,1,""
"220682rr01",91,528,1,"",96,361,1,""
"220682rr01",92,495,1,"",96,488,1,""
"220682rr01",93,NA,-1,"blink before target onset (18 of 18 pretarget NA)",1661,-2516,-1,"early saccade"
"220682rr01",94,470,1,"",1824,473,1,""
"220682rr01",95,205,2,"",514,205,2,""
"220682rr01",96,NA,-1,"blink before target onset (18 of 18 pretarget NA)",1824,-1287,-1,"early saccade"
"220682rr01",97,328,1,"",96,321,1,""
"220682rr01",98,321,1,"",1406,308,1,""
"220682rr01",99,183,2,"",1661,185,2,""
"220682rr02",1,NA,-1,"blink before target onset (18 of 18 pretarget NA)",96,-32521,-1,"early saccade"
"220682rr02",10,NA,-1,"blink before target onset (18 of 18 pretarget NA)",1661,-4570,-1,"early saccade"
"220682rr02",100,NA,-1,"blink before target onset (18 of 18 pretarget NA)",1661,-23,-1,"early saccade"
"220682rr02",101,NA,-1,"blink before target onset (18 of 18 pretarget NA)",96,-617,-1,"early saccade"
"220682rr02",102,NA,-1,"blink before target onset (18 of 18 pretarget NA)",1406,-6617,-1,"early saccade"
"220682rr02",103,NA,-1,"blink before target onset (18 of 18 pretarget NA)",1824,-5571,-1,"early saccade"
"220682rr02",104,NA,-1,"blink before target onset (18 of 18 pretarget NA)",514,-2957,-1,"early saccade"
"220682rr02",105,NA,-1,"blink before target onset (18 of 18 pretarget NA)",1406,-8957,-1,"early saccade"
"220682rr02",106,NA,-1,"blink before target onset (18 of 18 pretarget NA)",514,-40187,-1,"early saccade"
"220682rr02",107,NA,-1,"blink before target onset (18 of 18 pretarget NA)",1661,-46187,-1,"early saccade"
"220682rr02",108,NA,-1,"blink before target onset (18 of 18 pretarget NA)",259,-52187,-1,"early saccade"
"220682rr02",109,NA,-1,"blink before target onset (18 of 18 pretarget NA)",96,-58187,-1,"early saccade"
"220682rr02",11,NA,-1,"blink before target onset (18 of 18 pretarget NA)",1406,-4692,-1,"early saccade"
"220682rr02",110,NA,-1,"blink before target onset (18 of 18 pretarget NA)",1824,-64187,-1,"early saccade"
"220682rr02",12,NA,-1,"blink before target onset (17 of 18 pretarget NA)",1824,-328,-1,"early saccade"
"220682rr02",13,NA,-1,"blink before target onset (18 of 18 pretarget NA)",96,-6328,-1,"early saccade"
"220682rr02",14,NA,-1,"blink before target onset (18 of 18 pretarget NA)",1661,-3074,-1,"early saccade"
"220682rr02",15,NA,-1,"blink before target onset (18 of 18 pretarget NA)",259,-8590,-1,"early saccade"
"220682rr02",16,NA,-1,"blink before target onset (18 of 18 pretarget NA)",96,-14590,-1,"early saccade"
"220682rr02",17,NA,-1,"blink before target onset (18 of 18 pretarget NA)",96,-298,-1,"early saccade"
"220682rr02",18,NA,-1,"< 30% tracking for samples of interest",1824,-136,-1,"early saccade"
"220682rr02",19,NA,-1,"blink before target onset (18 of 18 pretarget NA)",1824,-6136,-1,"early saccade"
"220682rr02",2,NA,-1,"blink before target onset (18 of 18 pretarget NA)",1406,-3972,-1,"early saccade"
"220682rr02",20,277,2,"",1661,273,2,""
"220682rr02",21,NA,-1,"blink before target onset (18 of 18 pretarget NA)",514,-5535,-1,"early saccade"
"220682rr02",22,NA,-1,"blink before target onset (18 of 18 pretarget NA)",1824,-10249,-1,"early saccade"
"220682rr02",23,NA,-1,"blink before target onset (18 of 18 pretarget NA)",1406,-16250,-1,"early saccade"
"220682rr02",24,NA,-1,"blink before target onset (18 of 18 pretarget NA)",514,-22250,-1,"early saccade"
"220682rr02",25,NA,-1,"blink before target onset (18 of 18 pretarget NA)",96,-28249,-1,"early saccade"
"220682rr02",26,NA,-1,"blink before target onset (18 of 18 pretarget NA)",1661,-34249,-1,"early saccade"
"220682rr02",27,NA,-1,"< 30% tracking for samples of interest",259,-47,-1,"early saccade"
"220682rr02",28,NA,-1,"blink before target onset (18 of 18 pretarget NA)",1406,-5867,-1,"early saccade"
"220682rr02",29,NA,-1,"blink before target onset (18 of 18 pretarget NA)",1824,-4185,-1,"early saccade"
"220682rr02",3,NA,-1,"blink before target onset (18 of 18 pretarget NA)",514,-571,-1,"early saccade"
"220682rr02",30,NA,-1,"blink before target onset (18 of 18 pretarget NA)",96,-2006,-1,"early saccade"
"220682rr02",31,NA,-1,"blink before target onset (18 of 18 pretarget NA)",1824,-4180,-1,"early saccade"
"220682rr02",32,NA,-1,"blink before target onset (18 of 18 pretarget NA)",259,-10180,-1,"early saccade"
"220682rr02",33,NA,-1,"blink before target onset (18 of 18 pretarget NA)",259,-16179,-1,"early saccade"
"220682rr02",34,NA,-1,"blink before target onset (18 of 18 pretarget NA)",1824,-22180,-1,"early saccade"
"220682rr02",35,NA,-1,"blink before target onset (18 of 18 pretarget NA)",96,-34067,-1,"early saccade"
"220682rr02",36,NA,-1,"blink before target onset (18 of 18 pretarget NA)",1661,-40067,-1,"early saccade"
"220682rr02",37,NA,-1,"blink before target onset (18 of 18 pretarget NA)",1406,-46067,-1,"early saccade"
"220682rr02",38,156,2,"",1406,47,-1,"early saccade"
"220682rr02",39,NA,-1,"blink before target onset (18 of 18 pretarget NA)",514,-5694,-1,"early saccade"
"220682rr02",4,NA,-1,"blink before target onset (18 of 18 pretarget NA)",259,-4269,-1,"early saccade"
"220682rr02",40,NA,-1,"blink before target onset (18 of 18 pretarget NA)",96,-11693,-1,"early saccade"
"220682rr02",41,NA,-1,"blink before target onset (18 of 18 pretarget NA)",1661,-5437,-1,"early saccade"
"220682rr02",42,NA,-1,"blink before target onset (18 of 18 pretarget NA)",514,-11437,-1,"early saccade"
"220682rr02",43,NA,-1,"blink before target onset (18 of 18 pretarget NA)",514,-2774,-1,"early saccade"
"220682rr02",44,NA,-1,"blink before target onset (18 of 18 pretarget NA)",1406,-8774,-1,"early saccade"
"220682rr02",45,NA,-1,"average fixpos(NaN) is off from middle(130.5) by NaN (>max 50.0)!",259,-190,-1,"early saccade"
"220682rr02",46,NA,-1,"blink before target onset (18 of 18 pretarget NA)",1661,-1310,-1,"early saccade"
"220682rr02",47,NA,-1,"blink before target onset (18 of 18 pretarget NA)",1824,-4312,-1,"early saccade"
"220682rr02",48,NA,-1,"blink before target onset (18 of 18 pretarget NA)",1824,-398,-1,"early saccade"
"220682rr02",49,NA,-1,"blink before target onset (18 of 18 pretarget NA)",1661,-4262,-1,"early saccade"
"220682rr02",5,NA,-1,"blink before target onset (18 of 18 pretarget NA)",514,-10268,-1,"early saccade"
"220682rr02",50,NA,-1,"blink before target onset (18 of 18 pretarget NA)",96,-10262,-1,"early saccade"
"220682rr02",51,NA,-1,"blink before target onset (18 of 18 pretarget NA)",1406,-5204,-1,"early saccade"
"220682rr02",52,NA,-1,"blink before target onset (18 of 18 pretarget NA)",1824,-11204,-1,"early saccade"
"220682rr02",53,NA,-1,"blink before target onset (18 of 18 pretarget NA)",514,-17204,-1,"early saccade"
"220682rr02",54,NA,-1,"blink before target onset (18 of 18 pretarget NA)",96,-23204,-1,"early saccade"
"220682rr02",55,NA,-1,"blink before target onset (18 of 18 pretarget NA)",259,-1632,-1,"early saccade"
"220682rr02",56,NA,-1,"blink before target onset (18 of 18 pretarget NA)",96,-7632,-1,"early saccade"
